month_start,calendar_year,density_280_kg_m3,temperature_280_K,f107_sfu,ap_nt
2023-02-01,2023.085558,3.571463858976539e-11,1005.1261445438977,nan,nan
2023-03-01,2023.162218,4.0165356833047413e-11,989.2026023546363,nan,nan
2023-04-01,2023.247091,3.6990374904746924e-11,959.1931620962092,nan,nan
2023-05-01,2023.329227,3.372154589270388e-11,982.1393922152198,nan,nan
2023-06-01,2023.414100,2.7055672113089892e-11,1003.085322062043,nan,nan
2023-07-01,2023.496235,2.6871943998277077e-11,1031.9793329957088,nan,nan
2023-08-01,2023.581109,2.7773878836334892e-11,990.6272917901207,nan,nan
2023-09-01,2023.665982,3.379801523301783e-11,974.2421854506428,nan,nan
2023-10-01,2023.748118,3.3279102423468864e-11,920.8715705993824,nan,nan
2023-11-01,2023.832991,4.1586659743172375e-11,993.2930477524252,nan,nan
2023-12-01,2023.915127,3.4765320147310327e-11,943.8947542024897,nan,nan
2024-01-01,2024.000000,3.4532319904471326e-11,960.1954724505155,nan,nan
2024-02-01,2024.084873,3.42902119368749e-11,952.7833745164124,nan,nan
2024-03-01,2024.164271,3.889748490062581e-11,983.9476258806213,nan,nan
2024-04-01,2024.249144,3.8186392504393804e-11,990.1777067074944,nan,nan
2024-05-01,2024.331280,3.7277141406296645e-11,1069.2549656655976,nan,nan
2024-06-01,2024.416153,2.8345500720014706e-11,1100.7714126942599,nan,nan
2024-07-01,2024.498289,1.7292114423926072e-11,1136.4147718913277,nan,nan
2024-08-01,2024.583162,2.2486637210410493e-11,1210.9751244914617,nan,nan
2024-09-01,2024.668036,3.391647845011908e-11,1178.41187704433,nan,nan
2024-10-01,2024.750171,5.326117397698963e-11,1163.8628048504413,nan,nan
2024-11-01,2024.835044,5.1040877311978943e-11,1105.378052408317,nan,nan
2024-12-01,2024.917180,4.5248693046096844e-11,1073.1841049275556,nan,nan
2025-01-01,2025.002053,4.0440360494353215e-11,1052.4000983886542,nan,nan
2025-02-01,2025.086927,4.34668675882822e-11,1054.090189536416,nan,nan
2025-03-01,2025.163587,4.4722289243866336e-11,1026.8823968411593,nan,nan
2025-04-01,2025.248460,4.1070991460499806e-11,985.868886462005,nan,nan
2025-05-01,2025.330595,3.253620336517926e-11,939.1954601841999,nan,nan
2025-06-01,2025.415469,2.8718742377263125e-11,939.5948473096478,nan,nan
2025-07-01,2025.497604,2.568413519211841e-11,938.6056323991247,nan,nan
2025-08-01,2025.582478,2.6268010839757366e-11,943.6919535398943,nan,nan
2025-09-01,2025.667351,3.2439683993799246e-11,968.0330024741706,nan,nan
2025-10-01,2025.749487,3.568220790468813e-11,947.7723173039968,nan,nan
2025-11-01,2025.834360,3.368665242081405e-11,924.3398007353177,nan,nan
2025-12-01,2025.916496,3.359227296593984e-11,954.6995303060263,nan,nan
2026-01-01,2026.001369,3.2346033668520386e-11,956.6844025643363,nan,nan
2026-02-01,2026.086242,3.106187516666227e-11,923.4262316667783,nan,nan
2026-03-01,2026.162902,2.942102480027295e-11,879.4104330363072,nan,nan
2026-04-01,2026.247775,2.898353906174041e-11,875.7050923101302,nan,nan
2026-05-01,2026.329911,2.7492180424379903e-11,892.2340774326468,nan,nan
2026-06-01,2026.414784,2.6522767188263212e-11,917.0753009065083,nan,nan
