date,calendar_year,density_280_kg_m3,temperature_280_K,f107_sfu,ap_nt
2015-04-17,2015.290897,4.004733347823382e-11,966.8854026851668,nan,nan
2015-04-22,2015.304586,4.373827843227702e-11,1005.8375216380869,nan,nan
2015-04-27,2015.318275,3.138650017581031e-11,890.0937530835254,nan,nan
2015-05-02,2015.331964,2.6166228482555765e-11,840.2676601729486,nan,nan
2015-05-07,2015.345654,3.401892411428421e-11,926.8625164024246,nan,nan
2015-05-12,2015.359343,3.335817876084317e-11,929.0726596354077,nan,nan
2015-05-17,2015.373032,3.1640636874019365e-11,921.0709608615707,nan,nan
2015-05-22,2015.386721,2.513361157040515e-11,856.4087348208946,nan,nan
2015-05-27,2015.400411,2.121192282014458e-11,815.022966727046,nan,nan
2015-06-01,2015.414100,2.02301185381518e-11,807.154114055621,nan,nan
2015-06-06,2015.427789,2.2870806989504146e-11,846.8281024743048,nan,nan
2015-06-11,2015.441478,2.8743206809857584e-11,926.3130351636587,nan,nan
2015-06-16,2015.455168,3.037363959765791e-11,953.7099034522822,nan,nan
2015-06-21,2015.468857,1.9744523645687462e-11,822.330817865566,nan,nan
2015-06-26,2015.482546,2.6630181035455504e-11,915.0414436704959,nan,nan
2015-07-01,2015.496235,1.6725119401770945e-11,786.9880914329952,nan,nan
2015-07-06,2015.509925,2.1709658571673825e-11,861.4690495531254,nan,nan
2015-07-11,2015.523614,2.2764512822132983e-11,878.2345659239955,nan,nan
2015-07-16,2015.537303,2.141510321377149e-11,863.9944873927245,nan,nan
2015-07-21,2015.550992,1.6879848113039905e-11,800.3990183527644,nan,nan
2015-07-26,2015.564682,1.461991548011342e-11,764.5387294402312,nan,nan
2015-07-31,2015.578371,2.02149827980857e-11,845.1213164841254,nan,nan
2015-08-05,2015.592060,1.8781273431340924e-11,820.5010870495244,nan,nan
2015-08-10,2015.605749,2.110735504950678e-11,850.6163291249825,nan,nan
2015-08-15,2015.619439,1.554216666396892e-11,767.5155595188569,nan,nan
2015-08-20,2015.633128,1.8258777719045975e-11,803.6850141798616,nan,nan
2015-08-25,2015.646817,1.7110511425132533e-11,784.9944681164759,nan,nan
2015-08-30,2015.660507,2.2176785324873163e-11,849.8725530884542,nan,nan
2015-09-04,2015.674196,1.7652303805406938e-11,784.8684895328314,nan,nan
2015-09-09,2015.687885,1.536489616413639e-11,747.3380648941725,nan,nan
2015-09-14,2015.701574,1.9616084859806723e-11,800.7455375348453,nan,nan
2015-09-19,2015.715264,1.9950362884354036e-11,798.6623905674401,nan,nan
2015-09-24,2015.728953,2.6588135697079243e-11,874.2676192419343,nan,nan
2015-09-29,2015.742642,2.1837821288012296e-11,815.7546365840492,nan,nan
2015-10-04,2015.756331,2.5884140043852328e-11,857.0248703907466,nan,nan
2015-10-09,2015.770021,2.3311141861473767e-11,819.4288077315625,nan,nan
2015-10-14,2015.783710,2.298435755486136e-11,812.2132479093048,nan,nan
2015-10-19,2015.797399,2.8813020405973676e-11,873.9024073764276,nan,nan
2015-10-24,2015.811088,2.891056343896827e-11,873.0238164232326,nan,nan
2015-10-29,2015.824778,2.0559715974472782e-11,778.7532292814376,nan,nan
